"scenario","K","n_rep","G_mean","G_sd","G_mcse","Delta_tr","Delta_tr_sd","Delta_tr_mcse","radius_prop","radius_prop_sd","radius_prop_mcse","eta_B_waba","eta_B_waba_sd","eta_B_waba_mcse","eta_B_int","eta_B_int_sd","eta_B_int_mcse","delta_eta","delta_eta_sd","delta_eta_mcse","n_reclass","n_reclass_sd","n_reclass_mcse","pi_R","pi_R_sd","pi_R_mcse","E_R_het","E_R_het_sd","E_R_het_mcse","r_R_billard","r_R_billard_sd","r_R_billard_mcse","r_R_het_signed","r_R_het_signed_sd","r_R_het_signed_mcse","r_R_het_pos","prop_r_R_het_positive_sd","prop_r_R_het_positive_mcse","r_R_het_neg","prop_r_R_het_negative_sd","prop_r_R_het_negative_mcse","r_R_het_undef","prop_r_R_het_undefined_sd","prop_r_R_het_undefined_mcse","bw_int","bw_int_sd","bw_int_mcse","bw_waba","bw_waba_sd","bw_waba_mcse","cons_int","cons_int_sd","cons_int_mcse","cons_waba","cons_waba_sd","cons_waba_mcse","level5_mode","n_r_R_het_defined_mean","n_r_R_het_undefined_mean","level5_note","r_R_het_plot","equivocal_within_deg","equivocal_between_deg","equivocal_within_threshold","equivocal_between_threshold"
"complete_null",2,100,223.834606554968,139.264082293995,13.9264082293995,3.3104621347903,0.0940114483304962,0.00940114483304962,0.99388058524351,0.00343981806396549,0.000343981806396549,0.0363712434170022,0.0107044530877781,0.00107044530877781,0.501157871131178,0.000652137534986672,6.52137534986672e-05,0.464786627714175,0.0100863609690368,0.00100863609690368,0,0,0,0.99388869384319,0.00340633556058072,0.000340633556058072,0.0142572034150465,0.00385810148034548,0.000385810148034548,0.999184650035529,0.000427539403287037,4.27539403287037e-05,NA,NA,NA,0.552888888888889,0.131346210113144,0.0131346210113144,0.447111111111111,0.131346210113144,0.0131346210113144,0,0,0,0.249960104171601,0.0005508856694214,5.508856694214e-05,0.00136673825264005,0.000824750201333804,8.24750201333804e-05,0.668222222222222,0.162357460962887,0.0162357460962887,1,0,0,"k2_sign_only",45,0,"K=2 sign-only: P(+)=0.55, P(-)=0.45, undef=0.00",NA,37.5,52.5,0.76732698797896,1.30322537284121
"complete_null",3,100,106.211008544662,65.0014694181357,6.50014694181357,3.31134625779071,0.0932553070157633,0.00932553070157633,0.987890316585912,0.00592240662180238,0.000592240662180238,0.0558589125310066,0.0143213374790897,0.00143213374790897,0.502286862256444,0.0011236405131811,0.00011236405131811,0.446427949725438,0.0132306603184921,0.00132306603184921,0,0,0,0.987979075620746,0.00583012475866963,0.000583012475866963,0.0225709185016081,0.00432253235454541,0.000432253235454541,0.998294413981697,0.0006090946785433,6.090946785433e-05,0.0942206340347621,0.168869607288967,0.0168869607288967,0.556444444444444,0.114795045544684,0.0114795045544684,0.443555555555556,0.114795045544684,0.0114795045544684,0,0,0,0.249875916166632,0.000943750263886048,9.43750263886048e-05,0.00222345951620356,0.00138364940580262,0.000138364940580262,0.661333333333333,0.169743246322288,0.0169743246322288,1,0,0,"graded",45,0,"",0.0942206340347621,37.5,52.5,0.76732698797896,1.30322537284121
"complete_null",5,100,48.0369410593091,18.3171418781301,1.83171418781301,3.30558547001033,0.0913199498585534,0.00913199498585534,0.976723757797559,0.00766408501533751,0.000766408501533751,0.0831915881433908,0.014056621374865,0.0014056621374865,0.504418371028448,0.00146895998396125,0.000146895998396125,0.421226782885057,0.012611409398398,0.0012611409398398,0,0,0,0.976902784669905,0.00753469686496758,0.000753469686496758,0.0337947685344057,0.00413327003625338,0.000413327003625338,0.996597928490502,0.000721847667198529,7.21847667198529e-05,0.103949672229433,0.132721842138407,0.0132721842138407,0.587111111111111,0.120570618204897,0.0120570618204897,0.412888888888889,0.120570618204897,0.0120570618204897,0,0,0,0.249694742084557,0.00137980434205653,0.000137980434205653,0.0036399547637738,0.00189909592275346,0.000189909592275346,0.643111111111111,0.188609947863234,0.0188609947863234,1,0,0,"graded",45,0,"",0.103949672229433,37.5,52.5,0.76732698797896,1.30322537284121
"complete_null",10,100,20.1826034228097,4.45121779979637,0.445121779979637,3.26881149400001,0.0893919628812258,0.00893919628812257,0.948134747435441,0.0109790771520262,0.00109790771520262,0.13018591521106,0.0143665759430154,0.00143665759430155,0.510017487525356,0.00217638396335563,0.000217638396335563,0.379831572314297,0.0122074849320632,0.00122074849320632,0,0,0,0.948469806256445,0.0108042413985296,0.00108042413985296,0.0536753347711868,0.00394629450555945,0.000394629450555945,0.991948553037836,0.00120820266274672,0.000120820266274672,0.11392589548164,0.0904428305689838,0.00904428305689838,0.632444444444444,0.109296974601037,0.0109296974601037,0.367555555555556,0.109296974601037,0.0109296974601037,0,0,0,0.249331606006684,0.00190783191053971,0.000190783191053971,0.00700069670714905,0.00285011983425397,0.000285011983425397,0.628666666666667,0.179767068806581,0.0179767068806581,1,0,0,"graded",45,0,"",0.11392589548164,37.5,52.5,0.76732698797896,1.30322537284121
"heteroscedastic",2,100,1.18343013356243,0.0487149962115272,0.00487149962115272,7.22261999005178,1.93468728753828,0.193468728753828,0.153598518575741,0.0344061555651518,0.00344061555651518,0.767599117368695,0.0394772098304332,0.00394772098304332,0.804878697440697,0.0286015363637989,0.00286015363637989,0.037279580072002,0.0109670621164748,0.00109670621164748,1.94,1.15312487168432,0.115312487168432,0.197415527313959,0.0398405984403409,0.00398405984403409,0.295889696371849,0.0624933647954002,0.00624933647954002,0.995812488918683,0.00256188636861181,0.000256188636861181,NA,NA,NA,1,0,0,0,0,0,0,0,0,0.636252933908574,0.0472313225208011,0.00472313225208011,0.589569998715636,0.0608948282371068,0.00608948282371068,0.355111111111111,0.158115223786379,0.0158115223786379,0.257777777777778,0.14928854012614,0.014928854012614,"k2_sign_only",45,0,"K=2 sign-only: P(+)=1.00, P(-)=0.00, undef=0.00",NA,37.5,52.5,0.76732698797896,1.30322537284121
"heteroscedastic",3,100,1.27043368095883,0.0571002012641904,0.00571002012641904,7.12534636740594,1.52140310577815,0.152140310577815,0.211311981543084,0.0350227590370501,0.00350227590370501,0.705843363074541,0.0355979780297401,0.00355979780297401,0.761640300008169,0.0239248932040696,0.00239248932040696,0.055796936933628,0.0117688655485956,0.00117688655485956,3.34,1.11210056953842,0.111210056953842,0.261799077465367,0.0386538536381286,0.00386538536381286,0.260658462847262,0.049587059836773,0.0049587059836773,0.993153493591135,0.00268630014169818,0.000268630014169818,0.977256113468053,0.0166919289415236,0.00166919289415236,1,0,0,0,0,0,0,0,0,0.565633645778436,0.0373153215334632,0.00373153215334632,0.497020768254843,0.0505862558793766,0.00505862558793766,0.166222222222222,0.102078657787061,0.0102078657787061,0.0855555555555556,0.0781616309558916,0.00781616309558916,"graded",45,0,"",0.977256113468053,37.5,52.5,0.76732698797896,1.30322537284121
"heteroscedastic",5,100,1.31833337219194,0.0570350339438175,0.00570350339438175,6.34684802208904,1.12983970286083,0.112983970286083,0.240073448779896,0.0325775797663954,0.00325775797663954,0.678388767616591,0.0306768969791626,0.00306768969791626,0.742870390239899,0.0200445027136669,0.00200445027136669,0.0644816226233081,0.0106988096532426,0.00106988096532426,3.69,1.134357825718,0.1134357825718,0.291057451206323,0.034154747225155,0.0034154747225155,0.247906123713241,0.0472874785677638,0.00472874785677638,0.989553063236315,0.00304159052604455,0.000304159052604455,0.948239791386858,0.0330194707255375,0.00330194707255375,1,0,0,0,0,0,0,0,0,0.535236197179414,0.0302554944238533,0.00302554944238533,0.456297866219893,0.0420843816910219,0.00420843816910219,0.0953333333333333,0.0702227762838816,0.00702227762838816,0.0344444444444444,0.0426547635846911,0.00426547635846911,"graded",45,0,"",0.948239791386858,37.5,52.5,0.76732698797896,1.30322537284121
"heteroscedastic",10,100,1.37687959898876,0.0519356574795452,0.00519356574795452,6.14318228856198,0.812593595651581,0.0812593595651581,0.272684340015215,0.0277732568237126,0.00277732568237126,0.649194573793653,0.0250503199712126,0.00250503199712126,0.724016564138179,0.0158776798238778,0.00158776798238778,0.0748219903445262,0.00925951911777856,0.000925951911777856,4.09,1.15553127402616,0.115553127402616,0.32380174596068,0.0285826544514534,0.00285826544514534,0.233593464970767,0.0297838697997604,0.00297838697997604,0.982595781220998,0.00294491608886368,0.000294491608886368,0.896199032965095,0.0330367575883332,0.00330367575883332,1,0,0,0,0,0,0,0,0,0.500365643304345,0.0237465212816118,0.00237465212816118,0.410241537027395,0.0336060431706974,0.00336060431706974,0.0435555555555556,0.0426015215351736,0.00426015215351736,0.00822222222222222,0.0188601484657371,0.00188601484657371,"graded",45,0,"",0.896199032965095,37.5,52.5,0.76732698797896,1.30322537284121
"homoscedastic",2,100,1.33298678029488,0.0117315600778946,0.00117315600778946,3.33671851301638,0.0688372046380698,0.00688372046380698,0.249747443843042,0.00660775899312418,0.000660775899312418,0.706828641556209,0.00626125237389217,0.000626125237389217,0.755907140990734,0.00428907168812052,0.000428907168812052,0.0490784994345256,0.00197377117369134,0.000197377117369134,0.01,0.1,0.01,0.250576278018974,0.00666683835486701,0.000666683835486701,0.0145189919362189,0.00355685213527241,0.000355685213527241,0.998990732938973,0.00053478649348472,5.3478649348472e-05,NA,NA,NA,0.494222222222222,0.0664883511264616,0.00664883511264616,0.505777777777778,0.0664883511264616,0.00664883511264616,0,0,0,0.570931826158457,0.00652361250609757,0.000652361250609757,0.499608145890135,0.0088608063119273,0.00088608063119273,0,0,0,0,0,0,"k2_sign_only",45,0,"K=2 sign-only: P(+)=0.49, P(-)=0.51, undef=0.00",NA,37.5,52.5,0.76732698797896,1.30322537284121
"homoscedastic",3,100,1.49612576065727,0.0204411838432642,0.00204411838432642,3.31439341209812,0.0716731287843896,0.00716731287843896,0.331484077010715,0.00908906143167473,0.000908906143167473,0.633273512134238,0.00785809351699298,0.000785809351699298,0.707862657506846,0.00486699061628012,0.000486699061628012,0.0745891453726081,0.0029944686241598,0.00029944686241598,1.58,1.22416741444373,0.122416741444373,0.332782466017331,0.00922717375053092,0.000922717375053092,0.0229758714326564,0.00378776948052827,0.000378776948052827,0.99798013730609,0.000697277811449729,6.97277811449729e-05,0.00239706367409704,0.0947932747452706,0.00947932747452706,0.502222222222222,0.0654204508616878,0.00654204508616878,0.497777777777778,0.0654204508616877,0.00654204508616877,0,0,0,0.499240670446839,0.00689130020380452,0.000689130020380452,0.399768166931316,0.00990410036132842,0.000990410036132842,0,0,0,0,0,0,"graded",45,0,"",0.00239706367409704,37.5,52.5,0.76732698797896,1.30322537284121
"homoscedastic",5,100,1.6577799215026,0.0246043912986542,0.00246043912986542,3.30950640554576,0.0696652458949761,0.00696652458949761,0.396652443101505,0.00893045558685112,0.000893045558685112,0.579036645301359,0.00728831109489466,0.000728831109489466,0.675504965078974,0.00415722540718281,0.000415722540718281,0.0964683197776154,0.00313702670645588,0.000313702670645588,8.54,0.925726577867189,0.0925726577867189,0.39840144992971,0.00911712500599486,0.000911712500599486,0.0347496583698933,0.00389515004807719,0.000389515004807719,0.995866035004594,0.000924340411756462,9.24340411756462e-05,-0.0156840087707665,0.0630386916425841,0.00630386916425841,0.485777777777778,0.0694172561816764,0.00694172561816764,0.514222222222222,0.0694172561816764,0.00694172561816764,0,0,0,0.451696281750839,0.00568944141474922,0.000568944141474922,0.331278453930137,0.00845089267772152,0.000845089267772152,0,0,0,0,0,0,"graded",45,0,"",-0.0156840087707665,37.5,52.5,0.76732698797896,1.30322537284121
"homoscedastic",10,100,1.77148432820129,0.0410332149689045,0.00410332149689045,3.26656954674521,0.0632820525129385,0.00632820525129385,0.43520280468388,0.0130368472030357,0.00130368472030357,0.548348178322318,0.010137598256519,0.0010137598256519,0.65831767869391,0.0055570699891815,0.00055570699891815,0.109969500371592,0.00458581922248298,0.000458581922248298,9.83,0.427702341505507,0.0427702341505507,0.437205126054777,0.0129890271473711,0.00129890271473711,0.0535792179885385,0.00434890476952319,0.000434890476952319,0.990893900988622,0.0015536431262465,0.00015536431262465,-0.000521039771947019,0.0465140506957089,0.00465140506957089,0.500666666666667,0.07164049583491,0.007164049583491,0.499333333333333,0.07164049583491,0.007164049583491,0,0,0,0.421753313632344,0.00738304439512241,0.000738304439512241,0.289248478802935,0.0111730899407792,0.00111730899407792,0,0,0,0,0,0,"graded",45,0,"",-0.000521039771947019,37.5,52.5,0.76732698797896,1.30322537284121
"nonlinear_var",2,100,1.41377551845767,0.0176713195205768,0.00176713195205768,4.15548052457847,0.113926396763364,0.0113926396763364,0.292565253458007,0.00879941190852196,0.000879941190852196,0.66751192101085,0.00793923861844812,0.000793923861844812,0.729686222701151,0.00513634181802843,0.000513634181802843,0.0621743016903011,0.00280724035619208,0.000280724035619208,0.15,0.411329453348431,0.0411329453348431,0.293616701442521,0.00896077304639959,0.000896077304639959,0.25808293567584,0.00331100637033869,0.000331100637033869,0.999628122160235,0.000199867754050111,1.99867754050111e-05,NA,NA,NA,1,0,0,0,0,0,0,0,0,0.531901964048244,0.00754216338333547,0.000754216338333547,0.445574458510758,0.0105840926464922,0.00105840926464922,0,0,0,0,0,0,"k2_sign_only",45,0,"K=2 sign-only: P(+)=1.00, P(-)=0.00, undef=0.00",NA,37.5,52.5,0.76732698797896,1.30322537284121
"nonlinear_var",3,100,1.57993783110338,0.0280011281489465,0.00280011281489465,3.89478870650404,0.0876464598904452,0.00876464598904452,0.36686682670103,0.0112243496190238,0.00112243496190238,0.603553797239095,0.00916728666708254,0.000916728666708254,0.689849693178743,0.00547548332845353,0.000547548332845353,0.086295895939648,0.00369755123428843,0.000369755123428843,5.49,1.66663636336088,0.166663636336088,0.368298496480966,0.0110913241944138,0.00110913241944138,0.219253490737947,0.00364230433312236,0.000364230433312236,0.998427848253135,0.00078487460119446,7.8487460119446e-05,0.992871187323129,0.00441444264562085,0.000441444264562085,1,0,0,0,0,0,0,0,0,0.474116889365167,0.00753640354512415,0.000753640354512415,0.363148678327739,0.0110769061796986,0.00110769061796986,0,0,0,0,0,0,"graded",45,0,"",0.992871187323129,37.5,52.5,0.76732698797896,1.30322537284121
"nonlinear_var",5,100,1.72502295834754,0.0324369073868629,0.00324369073868629,3.70815793058835,0.0882938883521914,0.00882938883521914,0.420095817948836,0.0108421809947672,0.00108421809947672,0.5602463985648,0.00848517872622109,0.000848517872622109,0.66491523468457,0.00470934861004621,0.000470934861004621,0.10466883611977,0.00378212683140009,0.000378212683140009,9.54,0.642281287696639,0.0642281287696639,0.422066902656875,0.0107924655906505,0.00107924655906505,0.194175126025052,0.00404983128505479,0.000404983128505479,0.996453608952269,0.00107733702206752,0.000107733702206752,0.974222720762006,0.00863422476753048,0.000863422476753048,1,0,0,0,0,0,0,0,0,0.437464024082502,0.00636345878673337,0.000636345878673337,0.309795634859513,0.00953592000929073,0.000953592000929073,0,0,0,0,0,0,"graded",45,0,"",0.974222720762006,37.5,52.5,0.76732698797896,1.30322537284121
"nonlinear_var",10,100,1.84482862506035,0.0464135040178611,0.00464135040178611,3.60255974779455,0.0787413943788312,0.00787413943788312,0.457606526391572,0.0135654806854642,0.00135654806854642,0.530936437435544,0.0104239958049456,0.00104239958049456,0.648953928606084,0.00552416256474638,0.000552416256474638,0.11801749117054,0.00490599188229532,0.000490599188229532,9.9,0.301511344577764,0.0301511344577764,0.459732408348244,0.0135913690192827,0.00135913690192827,0.181649622681758,0.00407228946523984,0.000407228946523984,0.991287355755683,0.00166895886267225,0.000166895886267225,0.918494539599216,0.0161528324432652,0.00161528324432652,1,0,0,0,0,0,0,0,0,0.40978249957758,0.00721551807681593,0.000721551807681593,0.270777805631656,0.0110409136916252,0.00110409136916252,0,0,0,0,0,0,"graded",45,0,"",0.918494539599216,37.5,52.5,0.76732698797896,1.30322537284121
"spread_only",2,100,216.35169598956,125.376987810708,12.5376987810708,15.5914109492385,1.95265038294257,0.195265038294257,0.994247744435392,0.00263049524949447,0.000263049524949447,0.0350805522062138,0.00844495345114372,0.000844495345114372,0.501083265590346,0.000507646631405802,5.07646631405802e-05,0.466002713384133,0.00796946479753362,0.000796946479753362,0,0,0,0.994278596777842,0.00265197333043101,0.000265197333043101,0.337031286799585,0.029555440545618,0.0029555440545618,0.999467425704898,0.000335394226394982,3.35394226394982e-05,NA,NA,NA,1,0,0,0,0,0,0,0,0,0.249534718872023,0.000301466146959307,3.01466146959307e-05,0.00123146688364888,0.000609734202148733,6.09734202148733e-05,0,0,0,0.982,0.0229281804562593,0.00229281804562593,"k2_sign_only",45,0,"K=2 sign-only: P(+)=1.00, P(-)=0.00, undef=0.00",NA,37.5,52.5,0.76732698797896,1.30322537284121
"spread_only",3,100,100.474891461309,41.3951979116735,4.13951979116735,13.7317752212885,1.66462442721359,0.166462442721359,0.988585100484709,0.00417545407884092,0.000417545407884092,0.0536884075123708,0.0100391235084103,0.00100391235084103,0.502154545833184,0.000789426596418412,7.89426596418412e-05,0.448466138320813,0.00929492078080192,0.000929492078080192,0,0,0,0.988680237806839,0.00407381536841328,0.000407381536841328,0.292426223030589,0.025788757235237,0.0025788757235237,0.998092130488204,0.000822931643212156,8.22931643212156e-05,0.99477902070544,0.00291825513747324,0.000291825513747324,1,0,0,0,0,0,0,0,0,0.248828855761239,0.000481488063401987,4.81488063401987e-05,0.00214367197203251,0.0009990065797592,9.990065797592e-05,0,0,0,0.972444444444444,0.0273755388476264,0.00273755388476264,"graded",45,0,"",0.99477902070544,37.5,52.5,0.76732698797896,1.30322537284121
"spread_only",5,100,45.6632902059034,12.0809832181196,1.20809832181196,12.9681553652359,1.30144755208135,0.130144755208135,0.976683942063331,0.00568096394998026,0.000568096394998026,0.0820361685052552,0.00985682628246432,0.000985682628246432,0.50443591507561,0.00108321907399225,0.000108321907399225,0.422399746570354,0.00881581186635147,0.000881581186635147,0,0,0,0.976871868542387,0.00550330622102085,0.000550330622102085,0.265192995042157,0.0231538022616464,0.00231538022616464,0.995755432759108,0.00104849642112709,0.000104849642112709,0.982429693363885,0.00555869702169543,0.000555869702169543,1,0,0,0,0,0,0,0,0,0.247406408958419,0.000603843540271988,6.03843540271988e-05,0.00344417449353071,0.000941436993430394,9.41436993430394e-05,0,0,0,0.954666666666667,0.0306100422267404,0.00306100422267404,"graded",45,0,"",0.982429693363885,37.5,52.5,0.76732698797896,1.30322537284121
"spread_only",10,100,19.9470426591466,3.72974678863855,0.372974678863855,12.3885143600564,0.81423325269083,0.081423325269083,0.948210327699877,0.00917252773078274,0.000917252773078274,0.128806248102191,0.0115813220969038,0.00115813220969038,0.509997401790315,0.00178249245980139,0.000178249245980139,0.381191153688124,0.00983363146440763,0.000983363146440763,0,0,0,0.948692597492914,0.00879620179890658,0.000879620179890658,0.248917495624587,0.015192506011412,0.0015192506011412,0.990549709134544,0.00180656968538652,0.000180656968538652,0.952071514488192,0.0104147423972836,0.00104147423972836,1,0,0,0,0,0,0,0,0,0.244277322988064,0.00111032326257317,0.000111032326257317,0.0056196563649368,0.00133650395138813,0.000133650395138813,0,0,0,0.916,0.0371822070788874,0.00371822070788874,"graded",45,0,"",0.952071514488192,37.5,52.5,0.76732698797896,1.30322537284121
